date,headline,source,summary
2024-05-21,Link for Audio Recording of Conference call with Analyst(s) & Investor(s).,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-23,"Disclosure of event or Information under Regulation 30 of SEBI (LODR) Regulations, 2015.",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015."
2024-05-28,Analyst/ Investor Meet Transcript,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-05-28,Annual Secretarial Compliance Report for the Financial Year 2023-24.,BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2024-05-29,Revision in Credit Rating Outlook,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-06-01,Change in Senior Management,BSE,Change In Senior Management
2024-06-01,Superannuation of CFO,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2024-06-10,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-06-20,"The Board of Directors of the Company at its meeting held today i.e. 20.06.2024, has, inter-alia, considered and approved the following business item(s):
1. Appointment of Shri Devendra ....",BSE,Board Meeting Outcome for Outcome Of The Board Meeting
2024-06-20,Appointment of Shri Devendra Kumar as Chief Financial Officer (CFO),BSE,Appointment Of Shri Devendra Kumar As Chief Financial Officer (CFO)
2024-06-22,"Extension of Additional Charge of post of Director (Finance) to Shri  Manish Patil, , Director (Human Resources)",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-06-27,Intimation for Loss of Share Certificate(s).,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-07-01,Change in Senior Management,BSE,Change In Senior Management
2024-07-02,"In terms of Regulation 30 of SEBI (LODR) Regulations, 2015, it is informed that the Board of Directors of the Company at
its meeting held today i.e. 02.07.2024, has considered and approved ....",BSE,Board Meeting Outcome for Appointment Of Director (Finance) And Chief Financial Officer
2024-07-02,Appointment of Director (Finance) and Chief Financial Officer,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-07-08,Compliance Certificate for the Quarter ended 30.06.2024.,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-07-08,"Clarification/Confirmation on news item appearing in ""The Economic Times""",BSE,"Clarification/Confirmation On News Item Appearing In ""The Economic Times"""
2024-07-08,"The Exchange has sought clarification from Oil and Natural Gas Corporation Ltd on July 8, 2024, with reference to news appeared in The Economic Times dated July 8, 2024, quoting ""ONGC Videsh ....",BSE,Clarification sought from Oil and Natural Gas Corporation Ltd
2024-07-12,Update on availing USD 800 Million Loan Facility by ONGC Videsh Limited,BSE,Update On Availing USD 800 Million Loan Facility By ONGC Videsh Limited
2024-07-16,Commencement of commercial production in CBM - Bokaro Block,BSE,Commencement Of Commercial Production In CBM - Bokaro Block
2024-07-19,"ONGC Videsh Limited signs SPA to acquire stake in ACG oil field, Azerbaijan.",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-07-22,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 05/08/2024 ,inter alia, to consider and approve Un-Audited ....",BSE,"Board Meeting Intimation for Consideration And Approval Of Un-Audited Financial Results Of The Company For The Quarter Ended 30Th June, 2024"
2024-07-23,Outcome of the Board Meeting held on 23.07.2024,BSE,Board Meeting Outcome for Outcome Of The Board Meeting
2024-07-24,Update on Block KG-DWN-98/2,BSE,Update On Block KG-DWN-98/2
2024-07-26,"Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",BSE,"Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
2024-08-01,Change in Senior Management,BSE,Change In Senior Management
2024-08-01,Intimation of Conference call with Analyst(s) & Investor(s) on Q1 FY'25 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-08-05,"ONGC declares results for Q1 FY''25: Posts Net Profit of Rs. 8,938 Crore",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-08-05,Unaudited Financial Results for the quarter ended 30.06.2024,BSE,Unaudited Financial Results For The Quarter Ended 30.06.2024
2024-08-05,Un-audited Financial Results for the quarter ended 30.06.2024,BSE,Board Meeting Outcome for Outcome Of The Board Meeting
2024-08-06,"The Company has fixed 23rd August, 2024 as the Record Date for the payment of Final Dividend for FY''24.",BSE,Intimation Of Record Date
2024-08-06,Link for Audio Recording of Conference call with Analyst(s) & Investor(s),BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-08-07,Notice of 31st Annual General Meeting,BSE,Notice Of 31St Annual General Meeting
2024-08-07,Business Responsibility and Sustainability Report for FY''24,BSE,Business Responsibility and Sustainability Reporting (BRSR)
2024-08-07,Integrated Annual Report for the FY'24,BSE,Reg. 34 (1) Annual Report.
2024-08-07,Newspaper Publications: 31st Annual General Meeting,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-08-08,Newspaper Publication for Dispatch of Notice and Annual Report,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-08-09,Approval of Government of India for Investment in ONGC Petro additions Ltd.,BSE,Approval Of Government Of India For Investment In ONGC Petro Additions Ltd.
2024-08-12,Allocation of Gas produced from new wells/ well intervention at 20% premium over APM Price.,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-08-13,Analyst/ Investor Meet: Outcome (Transcript),BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-08-14,Intimation regarding Loss of Share Certificate(s),BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-08-21,Outcome the Board Meeting with respect to Investment in ONGC Petro additions Limited (OPaL).,BSE,Board Meeting Outcome for Outcome The Board Meeting: Investment In ONGC Petro Additions Limited (Opal)
2024-08-23,"Disclosure under Regulation 30 of SEBI (LODR), Regulations, 2015 w.r.t. Investment in ONGC Petro additions Limited.",BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-08-25,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015.",BSE,Update On Block KG-DWN-98/2
2024-08-29,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-08-30,Presentation for Post - AGM Media Interaction,BSE,Presentation For Post - AGM Media Interaction
2024-08-30,Proceedings of the 31st Annual General Meeting of the Company held on 30.08.2024.,BSE,Shareholder Meeting / Postal Ballot-Outcome of AGM
2024-08-31,E-Voting Results and Scrutinizer''s Report,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2024-09-01,Change in Senior Management,BSE,Change In Senior Management
2024-09-10,Press Release w.r.t. ONGC Videsh  Limited,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-09-12,Investment in ONGC Petro additions Limited (OPaL),BSE,Announcement under Regulation 30 (LODR)-Updates on Acquisition
2024-09-12,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-13,Signing of Share Purchase Agreement for Acquisition of PTC Energy Limited by ONGC Green Limited.,BSE,Signing Of Share Purchase Agreement For Acquisition Of PTC Energy Limited
2024-09-14,Intimation from MoP&NG regarding appointment of Director,BSE,Intimation From Mop&NG Regarding Appointment Of Director
2024-09-15,Appointment of Director (Strategy and Corporate Affairs),BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-09-18,Schedule of Analyst/ Institutional Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-09-21,"Signing of Non-associated  Gas deal in Azeri-Chirag-Deepwater Gunashil(ACG) , Azerbaijan",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-09-25,"The Board of Directors of the Company at its meeting held today i.e. 25.09.2024, has inter-alia considered and approved the following business items:-
1. Appointment of Shri Arunangshu ....",BSE,Board Meeting Outcome for Outcome Of The Board Meeting
2024-10-01,Change in Senior Management,BSE,Change In Senior Management
2024-10-10,Appointment of Statutory Auditors by C&AG for the Financial Year 2024-25.,BSE,Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
2024-10-10,"Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30.09.2024.",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-10-15,Investment in ONGC Petro additions Limited (OPaL),BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-10-25,Investment in ONGC Petro additions Limited (OPaL),BSE,Announcement under Regulation 30 (LODR)-Updates on Acquisition
2024-10-28,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 11/11/2024 ,inter alia, to consider and approve Un-Audited ....",BSE,Board Meeting Intimation for Consideration And Approval Of Un-Audited Financial Results Of The Company For The Quarter And Half Year Ended 30.09.2024.
2024-11-01,change in Senior Management,BSE,Change In Senior Management
2024-11-04,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 11/11/2024 ,inter alia, to consider and approve Pursuant to ....",BSE,Update on board meeting
2024-11-06,"It is informed that 20.11.2024 has been fixed as Record date  for determining  eligibility  of members for payment of Interim Dividend , if any, declared at the Board Meeting scheduled ....",BSE,Intimation Of Record Date
