date,headline,source,summary
2024-05-01,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 09/05/2024 ,inter alia, to consider and approve In compliance with Regulation ....",BSE,"Board Meeting Intimation for Consideration Of The Financial Results Of The Bank For The Quarter/Year Ended 31St March, 2024. 

2. The Central Board Of The Bank May Also Consider Declaration Of Dividend, If Any, For The FY 2023-24."
2024-05-01,Analyst Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-06,Analyst/ Investors'' Meet Updates,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-08,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-05-08,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-05-09,Outcome of Board Meeting dated 09.05.2024,BSE,Board Meeting Outcome for Outcome Of Board Meeting Dated 09.05.2024
2024-05-09,Audited Financial Results for the quarter and year ended 31.03.2024,BSE,Audited Financial Results For The Quarter And Year Ended 31.03.2024
2024-05-09,Investor Presentation,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2024-05-09,Press Release Q4 FY24,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-05-09,Statement of Related Party Transaction,BSE,Statement Of Related Party Transaction
2024-05-09,Central Board of the Bank has declared Dividend of Rs. 13.70 per equity share,BSE,Corporate Action-Board approves Dividend
2024-05-09,"Record Date: 22.05.2024
Book Closure: 23.05.2024 to 25.05.2024",BSE,Record Date On 22.05.2024 And Book Closure From 23.05.2024 To 25.05.2024
2024-05-09,Group Meeting organised by BofA Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-05-09,Outcome of Analyst Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-05-09,Book Closure from 23.05.2024 to 25.03.2024,BSE,Book Closure From 23.05.2024 To 25.03.2024
2024-05-09,Reg 32: Statement of Deviation and Variation,BSE,Statement Of Deviation And Variation
2024-05-11,Financial results publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
