date,headline,source,summary
2025-11-17,Disclosure regarding outcome of investors interactions,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-19,Investor interaction arranged by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-20,Investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-21,Investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-24,Schedule of analyst / investor meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-29,Change in Director/ Key Managerial Personnel/ Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-12-01,Investor interaction arranged by Macquarie Capital,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-12-01,Change in Key Managerial Personnel,BSE,Change In Key Managerial Personnel
2025-12-10,Investor interaction arranged by Citi,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-12-10,"RBI approval to establish a Section 8 company under Companies Act, 2013",BSE,"RBI Approval To Establish A Section 8 Company Under Companies Act, 2013"
2025-12-11,Subscription of shares of Indian Digital Payment Intelligence Corporation,BSE,Subscription Of Shares Of Indian Digital Payment Intelligence Corporation
2025-12-15,Disclosure regarding update on signing a EURO 150 million Line of Credit with KfW (German Development Bank) for financing Climate Friendly Energy Generation projects on 16.12.2025 at KfW ....,BSE,Update
2025-12-15,Disclosure regarding appointment of Shri Ravi Ranjan as the Managing Director of State Bank of India with effect from 15.12.2025,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-12-16,Copy of newspaper Publications,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-12-16,Investors interaction arranged by Citi India,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-12-17,Extension of tenure of Managing Director,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-12-29,Closure of Trading Window,BSE,Closure of Trading Window
2025-12-31,Change in Senior Management,BSE,Change In Senior Management
2026-05-05,NSE's profit falls 15% in FY26 as market activity moderates,NewsAPI,"A cooling derivatives market and a massive  ₹1,391-crore provision for Sebi settlements weighed on annual earnings, even as a strong March quarter provided a boost ahead of the exchange's planned IPO."
2026-05-06,Son rise at Sun: Decoding the architecture of Dilip Shanghvi’s global empire,NewsAPI,"With a bold $11.75 billion bet on Organon, Dilip Shanghvi is hedging a decade of US stagnation and quietly commissioning an empire for a son who would rather let the numbers do the talking."
2026-05-13,"Actis restarts Nxt-Infra sale process, appoints Ambit",NewsAPI,"Interest in road assets has been buoyant in India lately, driven by the availability of a large number of assets that attract large institutional investors, including pension and sovereign wealth funds."
2026-05-17,NSE's Electronic Gold Receipts: What are EGRs and what is in them for gold buyers?,NewsAPI,"EGRs give people the option to convert their physical gold into electronic format, hold it and enjoy the upside in gold prices, and later sell it or convert back to physical gold. The gold’s purity is assured and can be bought in small quantities of 100 milli…"
2026-05-21,"Mamaearth parent proposes ₹3-per-share dividend, its first ever, after record profit in Q4",NewsAPI,"The company will return nearly  ₹98 crore to shareholders as net profit surged 178% in the March quarter, driven by a record performance from younger brands like The Derma Co."
2026-05-22,"Wakefit flags margin pressure from input inflation, shares fall 7%",NewsAPI,Wakefit warned that a sharp rise in crude oil-linked input costs could weigh on margins and near-term profitability despite the recent price hikes—showing how elevated oil prices due to the Iran war-led disruptions are starting to squeeze consumer businesses …
2026-05-22,Mamaearth parent's shares jump 10% post-Q4 results; Jefferies sees firm 'on strong growth path',NewsAPI,Mamaearth parent's shares jump 10% post-Q4 results; Jefferies sees firm 'on strong growth path'moneycontrol.com
2026-05-24,Gold ETF vs EGR vs digital gold: What’s the smarter way to invest in yellow metal?,NewsAPI,"There are several ways to invest in gold, including Gold ETFs, Electronic Gold Receipts, and Digital Gold. But which option is best for regularly investing your surplus monthly income? Let’s explore."
2026-05-25,Top 5 silver ETFs by lowest tracking error that closely mirror silver prices,NewsAPI,Tracking error is one of the most important factors to check while choosing a silver ETF. It shows how closely an ETF follows the actual movement of silver prices. A lower tracking error means the ETF is doing a better job in mirroring silver prices.
2026-05-28,PhysicsWallah reins in K-12 ambitions as profitability takes priority,NewsAPI,The edtech major is sharpening its focus on profitability across its core online and offline education businesses.
